,weight_2016,vatax_2016,CONS_Total_2016,weight_2017,vatax_2017,CONS_Total_2017,weight_2018,vatax_2018,CONS_Total_2018,weight_2019,vatax_2019,CONS_Total_2019,weight_2020,vatax_2020,CONS_Total_2020,weight_2021,vatax_2021,CONS_Total_2021,weight_2022,vatax_2022,CONS_Total_2022,weight_2023,vatax_2023,CONS_Total_2023,weight_2024,vatax_2024,CONS_Total_2024,weight_2025,vatax_2025,CONS_Total_2025,weight_ref_2025,vatax_ref_2025,CONS_Total_ref_2025,weight_ref_2026,vatax_ref_2026,CONS_Total_ref_2026,weight_ref_2027,vatax_ref_2027,CONS_Total_ref_2027,weight_ref_2028,vatax_ref_2028,CONS_Total_ref_2028,weight_ref_2029,vatax_ref_2029,CONS_Total_ref_2029,weight_ref_2030,vatax_ref_2030,CONS_Total_ref_2030,ETR,ETR_ref
0,"8,998.1074",5.0000,45.0000,"8,998.1074",6.0000,53.0000,"8,998.1074",6.0000,50.0000,"8,998.1074",6.0000,55.0000,"8,998.1074",6.0000,53.0000,"8,998.1074",9.0000,75.0000,"8,998.1074",8.0000,64.0000,"8,998.1074",8.0000,69.0000,"8,998.1074",9.0000,77.0000,"8,998.1074",10.0000,83.0000,"8,998.1074",10.0000,83.0000,"8,998.1074",10.0000,88.0000,"8,998.1074",11.0000,95.0000,"8,998.1074",12.0000,101.0000,"8,998.1074",13.0000,109.0000,"8,998.1074",14.0000,116.0000,0.1205,0.1205
1,"8,998.0396",12.0000,118.0000,"8,998.0396",14.0000,138.0000,"8,998.0396",13.0000,131.0000,"8,998.0396",14.0000,143.0000,"8,998.0396",14.0000,139.0000,"8,998.0396",19.0000,195.0000,"8,998.0396",17.0000,167.0000,"8,998.0396",18.0000,180.0000,"8,998.0396",20.0000,201.0000,"8,998.0396",21.0000,214.0000,"8,998.0396",21.0000,214.0000,"8,998.0396",23.0000,230.0000,"8,998.0396",25.0000,246.0000,"8,998.0396",26.0000,263.0000,"8,998.0396",28.0000,282.0000,"8,998.0396",30.0000,302.0000,0.0981,0.0981
2,"9,051.8771",18.0000,166.0000,"9,051.8771",20.0000,194.0000,"9,051.8771",19.0000,184.0000,"9,051.8771",21.0000,201.0000,"9,051.8771",21.0000,195.0000,"9,051.8771",29.0000,273.0000,"9,051.8771",25.0000,234.0000,"9,051.8771",27.0000,253.0000,"9,051.8771",30.0000,281.0000,"9,051.8771",32.0000,301.0000,"9,051.8771",32.0000,301.0000,"9,051.8771",34.0000,322.0000,"9,051.8771",36.0000,345.0000,"9,051.8771",39.0000,369.0000,"9,051.8771",42.0000,396.0000,"9,051.8771",45.0000,424.0000,0.1063,0.1063
3,"9,089.4495",15.0000,202.0000,"9,089.4495",18.0000,237.0000,"9,089.4495",17.0000,224.0000,"9,089.4495",19.0000,245.0000,"9,089.4495",18.0000,237.0000,"9,089.4495",25.0000,333.0000,"9,089.4495",22.0000,285.0000,"9,089.4495",23.0000,308.0000,"9,089.4495",26.0000,343.0000,"9,089.4495",28.0000,367.0000,"9,089.4495",28.0000,367.0000,"9,089.4495",30.0000,393.0000,"9,089.4495",32.0000,420.0000,"9,089.4495",34.0000,450.0000,"9,089.4495",37.0000,482.0000,"9,089.4495",39.0000,517.0000,0.0763,0.0763
4,"8,708.5306",22.0000,218.0000,"8,708.5306",26.0000,255.0000,"8,708.5306",25.0000,242.0000,"8,708.5306",27.0000,265.0000,"8,708.5306",26.0000,256.0000,"8,708.5306",37.0000,359.0000,"8,708.5306",31.0000,308.0000,"8,708.5306",34.0000,332.0000,"8,708.5306",38.0000,370.0000,"8,708.5306",40.0000,396.0000,"8,708.5306",40.0000,396.0000,"8,708.5306",43.0000,424.0000,"8,708.5306",46.0000,454.0000,"8,708.5306",50.0000,486.0000,"8,708.5306",53.0000,521.0000,"8,708.5306",57.0000,558.0000,0.1010,0.1010
5,"9,353.6977",23.0000,258.0000,"9,290.1268",26.0000,300.0000,"9,353.6977",25.0000,287.0000,"9,290.1268",27.0000,312.0000,"9,353.6977",27.0000,304.0000,"9,290.1268",37.0000,423.0000,"9,353.6977",32.0000,365.0000,"9,353.6977",35.0000,394.0000,"9,353.6977",38.0000,439.0000,"9,353.6977",41.0000,469.0000,"9,353.6977",41.0000,469.0000,"9,290.1268",44.0000,499.0000,"9,290.1268",47.0000,534.0000,"9,353.6977",51.0000,576.0000,"9,290.1268",54.0000,613.0000,"9,290.1268",58.0000,656.0000,0.0874,0.0874
6,"9,030.6209",21.0000,275.0000,"9,094.1918",25.0000,325.0000,"9,030.6209",23.0000,306.0000,"9,094.1918",25.0000,337.0000,"9,030.6209",24.0000,324.0000,"9,094.1918",35.0000,457.0000,"9,030.6209",29.0000,389.0000,"9,030.6209",32.0000,420.0000,"9,030.6209",35.0000,468.0000,"9,030.6209",38.0000,500.0000,"9,030.6209",38.0000,500.0000,"9,094.1918",41.0000,539.0000,"9,094.1918",44.0000,577.0000,"9,030.6209",46.0000,614.0000,"9,094.1918",50.0000,662.0000,"9,094.1918",54.0000,709.0000,0.0760,0.0760
7,"8,930.1135",24.0000,293.0000,"8,930.1135",29.0000,343.0000,"8,930.1135",27.0000,326.0000,"8,930.1135",30.0000,356.0000,"8,930.1135",29.0000,345.0000,"8,930.1135",40.0000,483.0000,"8,930.1135",34.0000,414.0000,"8,930.1135",37.0000,447.0000,"8,930.1135",42.0000,498.0000,"8,930.1135",44.0000,532.0000,"8,930.1135",44.0000,532.0000,"8,930.1135",48.0000,570.0000,"8,930.1135",51.0000,610.0000,"8,930.1135",54.0000,654.0000,"8,930.1135",58.0000,700.0000,"8,930.1135",63.0000,750.0000,0.0827,0.0827
8,"9,138.8206",26.0000,329.0000,"9,138.8206",30.0000,385.0000,"9,138.8206",29.0000,365.0000,"9,138.8206",31.0000,399.0000,"9,138.8206",30.0000,386.0000,"9,138.8206",42.0000,542.0000,"9,138.8206",36.0000,464.0000,"9,138.8206",39.0000,501.0000,"9,138.8206",44.0000,558.0000,"9,138.8206",47.0000,596.0000,"9,138.8206",47.0000,596.0000,"9,138.8206",50.0000,639.0000,"9,138.8206",54.0000,684.0000,"9,138.8206",57.0000,732.0000,"9,138.8206",62.0000,785.0000,"9,138.8206",66.0000,841.0000,0.0789,0.0789
9,"9,044.0760",23.0000,356.0000,"9,044.0760",27.0000,416.0000,"8,915.8540",25.0000,389.0000,"9,044.0760",28.0000,432.0000,"9,044.0760",27.0000,418.0000,"9,044.0760",38.0000,586.0000,"9,044.0760",33.0000,502.0000,"9,044.0760",35.0000,542.0000,"9,044.0760",39.0000,604.0000,"9,044.0760",42.0000,645.0000,"9,044.0760",42.0000,645.0000,"8,915.8540",45.0000,681.0000,"9,044.0760",48.0000,740.0000,"9,044.0760",52.0000,792.0000,"9,044.0760",55.0000,849.0000,"9,044.0760",59.0000,910.0000,0.0651,0.0651
10,"9,004.8060",24.0000,378.0000,"9,004.8060",29.0000,442.0000,"9,133.0281",27.0000,425.0000,"9,004.8060",30.0000,459.0000,"9,004.8060",29.0000,444.0000,"9,004.8060",40.0000,623.0000,"9,004.8060",34.0000,533.0000,"9,004.8060",37.0000,576.0000,"9,004.8060",41.0000,642.0000,"9,004.8060",44.0000,686.0000,"9,004.8060",44.0000,686.0000,"9,133.0281",48.0000,745.0000,"9,004.8060",51.0000,786.0000,"9,004.8060",54.0000,842.0000,"9,004.8060",58.0000,902.0000,"9,004.8060",62.0000,967.0000,0.0641,0.0641
11,"9,080.7925",27.0000,400.0000,"9,080.7925",32.0000,469.0000,"9,080.7925",30.0000,444.0000,"9,080.7925",33.0000,486.0000,"9,080.7925",32.0000,470.0000,"9,080.7925",45.0000,660.0000,"9,080.7925",38.0000,565.0000,"9,080.7925",41.0000,610.0000,"9,080.7925",46.0000,680.0000,"9,080.7925",49.0000,727.0000,"9,080.7925",49.0000,727.0000,"9,080.7925",53.0000,778.0000,"9,080.7925",57.0000,833.0000,"9,080.7925",61.0000,892.0000,"9,080.7925",65.0000,956.0000,"9,080.7925",70.0000,"1,024.0000",0.0674,0.0674
12,"9,036.9161",30.0000,420.0000,"9,036.9161",35.0000,492.0000,"9,036.9161",34.0000,466.0000,"9,036.9161",37.0000,510.0000,"9,036.9161",35.0000,494.0000,"9,036.9161",50.0000,693.0000,"9,036.9161",43.0000,593.0000,"9,036.9161",46.0000,640.0000,"9,036.9161",51.0000,713.0000,"9,036.9161",55.0000,763.0000,"9,036.9161",55.0000,763.0000,"9,036.9161",59.0000,817.0000,"9,036.9161",63.0000,874.0000,"9,036.9161",67.0000,936.0000,"9,036.9161",72.0000,"1,003.0000","9,036.9161",77.0000,"1,075.0000",0.0721,0.0721
13,"8,538.1473",30.0000,418.0000,"8,538.1473",35.0000,489.0000,"8,538.1473",33.0000,464.0000,"8,538.1473",36.0000,508.0000,"8,538.1473",35.0000,491.0000,"8,538.1473",49.0000,689.0000,"8,538.1473",42.0000,590.0000,"8,538.1473",45.0000,637.0000,"8,538.1473",51.0000,710.0000,"8,538.1473",54.0000,759.0000,"8,538.1473",54.0000,759.0000,"8,538.1473",58.0000,813.0000,"8,538.1473",62.0000,870.0000,"8,538.1473",66.0000,932.0000,"8,538.1473",71.0000,998.0000,"8,538.1473",76.0000,"1,070.0000",0.0711,0.0711
14,"9,512.4321",37.0000,486.0000,"9,512.4321",44.0000,569.0000,"9,512.4321",41.0000,540.0000,"9,512.4321",45.0000,591.0000,"9,512.4321",44.0000,571.0000,"9,512.4321",61.0000,802.0000,"9,512.4321",53.0000,686.0000,"9,512.4321",57.0000,741.0000,"9,512.4321",63.0000,826.0000,"9,512.4321",68.0000,883.0000,"9,512.4321",68.0000,883.0000,"9,512.4321",72.0000,945.0000,"9,512.4321",77.0000,"1,012.0000","9,512.4321",83.0000,"1,084.0000","9,512.4321",89.0000,"1,161.0000","9,512.4321",95.0000,"1,244.0000",0.0770,0.0770
15,"8,963.8695",38.0000,485.0000,"8,963.8695",44.0000,567.0000,"8,963.8695",42.0000,538.0000,"8,963.8695",46.0000,589.0000,"8,963.8695",44.0000,569.0000,"8,963.8695",62.0000,799.0000,"8,963.8695",53.0000,684.0000,"8,963.8695",57.0000,739.0000,"8,963.8695",64.0000,823.0000,"8,963.8695",68.0000,880.0000,"8,963.8695",68.0000,880.0000,"8,963.8695",73.0000,942.0000,"8,963.8695",78.0000,"1,009.0000","8,963.8695",84.0000,"1,080.0000","8,963.8695",90.0000,"1,157.0000","8,963.8695",96.0000,"1,240.0000",0.0773,0.0773
16,"9,126.7498",42.0000,512.0000,"9,126.7498",50.0000,599.0000,"9,126.7498",47.0000,568.0000,"9,126.7498",51.0000,622.0000,"9,126.7498",50.0000,601.0000,"9,126.7498",70.0000,844.0000,"9,126.7498",60.0000,722.0000,"9,126.7498",65.0000,780.0000,"9,126.7498",72.0000,869.0000,"9,126.7498",77.0000,929.0000,"9,126.7498",77.0000,929.0000,"9,126.7498",82.0000,995.0000,"9,126.7498",88.0000,"1,066.0000","9,126.7498",94.0000,"1,141.0000","9,126.7498",101.0000,"1,222.0000","9,126.7498",108.0000,"1,310.0000",0.0829,0.0829
17,"9,007.5775",45.0000,524.0000,"9,007.5775",53.0000,614.0000,"9,007.5775",50.0000,582.0000,"9,007.5775",55.0000,637.0000,"9,007.5775",53.0000,616.0000,"9,007.5775",75.0000,864.0000,"9,007.5775",64.0000,739.0000,"9,007.5775",69.0000,799.0000,"9,007.5775",77.0000,890.0000,"9,007.5775",83.0000,951.0000,"9,007.5775",83.0000,951.0000,"9,007.5775",88.0000,"1,019.0000","9,007.5775",95.0000,"1,091.0000","9,007.5775",101.0000,"1,168.0000","9,007.5775",109.0000,"1,251.0000","9,007.5775",116.0000,"1,341.0000",0.0873,0.0873
18,"8,941.0791",36.0000,545.0000,"8,941.0791",42.0000,638.0000,"8,941.0791",40.0000,605.0000,"8,941.0791",44.0000,662.0000,"8,941.0791",42.0000,640.0000,"8,941.0791",59.0000,899.0000,"8,941.0791",51.0000,769.0000,"8,941.0791",55.0000,831.0000,"8,941.0791",61.0000,926.0000,"8,941.0791",66.0000,989.0000,"8,941.0791",66.0000,989.0000,"8,941.0791",70.0000,"1,059.0000","8,941.0791",75.0000,"1,134.0000","8,941.0791",80.0000,"1,215.0000","8,941.0791",86.0000,"1,302.0000","8,941.0791",92.0000,"1,394.0000",0.0667,0.0667
19,"9,104.4666",41.0000,577.0000,"9,104.4666",48.0000,675.0000,"9,104.4666",46.0000,640.0000,"9,104.4666",50.0000,701.0000,"9,104.4666",49.0000,678.0000,"9,104.4666",68.0000,951.0000,"9,104.4666",58.0000,814.0000,"9,104.4666",63.0000,880.0000,"9,104.4666",70.0000,980.0000,"9,104.4666",75.0000,"1,047.0000","9,104.4666",75.0000,"1,047.0000","9,104.4666",80.0000,"1,121.0000","9,104.4666",86.0000,"1,201.0000","9,104.4666",92.0000,"1,286.0000","9,104.4666",99.0000,"1,378.0000","9,104.4666",106.0000,"1,476.0000",0.0716,0.0716
20,"9,042.8698",53.0000,592.0000,"9,042.8698",62.0000,692.0000,"9,042.8698",59.0000,657.0000,"9,042.8698",65.0000,719.0000,"9,042.8698",62.0000,695.0000,"9,042.8698",88.0000,975.0000,"9,042.8698",75.0000,835.0000,"9,042.8698",81.0000,902.0000,"9,042.8698",90.0000,"1,004.0000","9,042.8698",96.0000,"1,074.0000","9,042.8698",96.0000,"1,074.0000","9,042.8698",103.0000,"1,150.0000","9,042.8698",111.0000,"1,231.0000","9,042.8698",118.0000,"1,318.0000","9,042.8698",127.0000,"1,412.0000","9,042.8698",136.0000,"1,513.0000",0.0894,0.0894
21,"9,047.3063",45.0000,619.0000,"9,047.3063",53.0000,725.0000,"9,047.3063",50.0000,688.0000,"9,047.3063",55.0000,753.0000,"9,047.3063",53.0000,728.0000,"9,047.3063",75.0000,"1,021.0000","9,047.3063",64.0000,874.0000,"9,047.3063",69.0000,944.0000,"9,047.3063",77.0000,"1,052.0000","9,047.3063",82.0000,"1,125.0000","9,047.3063",82.0000,"1,125.0000","9,047.3063",88.0000,"1,204.0000","9,047.3063",94.0000,"1,289.0000","9,047.3063",101.0000,"1,381.0000","9,047.3063",108.0000,"1,479.0000","9,065.6487",116.0000,"1,588.0000",0.0729,0.0729
22,"8,913.0786",46.0000,637.0000,"8,913.0786",54.0000,746.0000,"8,913.0786",51.0000,707.0000,"8,913.0786",56.0000,774.0000,"8,913.0786",54.0000,749.0000,"8,913.0786",76.0000,"1,051.0000","8,913.0786",65.0000,899.0000,"8,913.0786",70.0000,971.0000,"8,913.0786",78.0000,"1,082.0000","8,913.0786",83.0000,"1,157.0000","8,913.0786",83.0000,"1,157.0000","8,913.0786",89.0000,"1,239.0000","8,913.0786",95.0000,"1,326.0000","8,913.0786",102.0000,"1,420.0000","8,913.0786",109.0000,"1,522.0000","8,894.7362",117.0000,"1,627.0000",0.0717,0.0717
23,"9,156.7642",52.0000,679.0000,"9,156.7642",61.0000,795.0000,"9,156.7642",57.0000,754.0000,"9,156.7642",63.0000,825.0000,"9,156.7642",61.0000,798.0000,"9,156.7642",85.0000,"1,119.0000","9,156.7642",73.0000,958.0000,"9,156.7642",79.0000,"1,035.0000","9,156.7642",88.0000,"1,153.0000","9,156.7642",94.0000,"1,232.0000","9,156.7642",94.0000,"1,232.0000","9,156.7642",101.0000,"1,320.0000","9,156.7642",108.0000,"1,413.0000","9,156.7642",115.0000,"1,513.0000","9,156.7642",124.0000,"1,621.0000","9,156.7642",132.0000,"1,737.0000",0.0763,0.0763
24,"9,053.3967",53.0000,695.0000,"9,053.3967",62.0000,814.0000,"9,053.3967",59.0000,772.0000,"9,053.3967",64.0000,845.0000,"9,053.3967",62.0000,817.0000,"9,053.3967",87.0000,"1,146.0000","9,053.3967",74.0000,981.0000,"9,053.3967",80.0000,"1,060.0000","9,053.3967",90.0000,"1,181.0000","9,053.3967",96.0000,"1,262.0000","9,053.3967",96.0000,"1,262.0000","9,053.3967",102.0000,"1,352.0000","9,053.3967",110.0000,"1,447.0000","9,053.3967",118.0000,"1,550.0000","9,053.3967",126.0000,"1,660.0000","9,053.3967",135.0000,"1,779.0000",0.0761,0.0761
25,"8,966.0742",45.0000,709.0000,"8,966.0742",53.0000,830.0000,"8,966.0742",50.0000,787.0000,"8,966.0742",55.0000,862.0000,"8,966.0742",53.0000,833.0000,"8,966.0742",75.0000,"1,169.0000","8,966.0742",64.0000,"1,001.0000","8,966.0742",69.0000,"1,081.0000","8,966.0742",77.0000,"1,204.0000","8,966.0742",82.0000,"1,288.0000","8,966.0742",82.0000,"1,288.0000","8,966.0742",88.0000,"1,379.0000","8,966.0742",94.0000,"1,476.0000","8,966.0742",101.0000,"1,581.0000","8,966.0742",108.0000,"1,694.0000","8,966.0742",116.0000,"1,815.0000",0.0637,0.0637
26,"9,110.5106",62.0000,744.0000,"9,110.5106",72.0000,871.0000,"9,110.5106",69.0000,826.0000,"9,110.5106",75.0000,904.0000,"9,110.5106",73.0000,874.0000,"9,110.5106",102.0000,"1,227.0000","9,110.5106",87.0000,"1,050.0000","9,110.5106",94.0000,"1,135.0000","9,110.5106",105.0000,"1,264.0000","9,110.5106",112.0000,"1,351.0000","9,110.5106",112.0000,"1,351.0000","9,110.5106",120.0000,"1,447.0000","9,110.5106",128.0000,"1,549.0000","9,110.5106",138.0000,"1,659.0000","9,110.5106",147.0000,"1,777.0000","9,110.5106",158.0000,"1,904.0000",0.0829,0.0829
27,"9,065.1473",56.0000,761.0000,"9,065.1473",66.0000,891.0000,"9,065.1473",62.0000,845.0000,"9,065.1473",68.0000,924.0000,"9,065.1473",66.0000,894.0000,"9,065.1473",93.0000,"1,255.0000","9,065.1473",79.0000,"1,074.0000","9,065.1473",86.0000,"1,160.0000","9,065.1473",96.0000,"1,292.0000","9,065.1473",102.0000,"1,382.0000","9,065.1473",102.0000,"1,382.0000","9,065.1473",109.0000,"1,479.0000","9,065.1473",117.0000,"1,584.0000","9,065.1473",125.0000,"1,696.0000","9,065.1473",134.0000,"1,817.0000","9,065.1473",144.0000,"1,947.0000",0.0738,0.0738
28,"9,009.3048",55.0000,781.0000,"9,009.3048",65.0000,915.0000,"9,009.3048",61.0000,867.0000,"9,009.3048",67.0000,949.0000,"9,009.3048",65.0000,918.0000,"9,009.3048",91.0000,"1,288.0000","9,009.3048",78.0000,"1,102.0000","9,009.3048",84.0000,"1,191.0000","9,009.3048",94.0000,"1,327.0000","9,009.3048",100.0000,"1,418.0000","9,009.3048",100.0000,"1,418.0000","9,009.3048",107.0000,"1,518.0000","9,009.3048",115.0000,"1,626.0000","9,009.3048",123.0000,"1,741.0000","9,009.3048",132.0000,"1,865.0000","9,009.3048",141.0000,"1,998.0000",0.0705,0.0705
29,"9,024.5426",52.0000,808.0000,"9,024.5426",60.0000,946.0000,"9,024.5426",57.0000,897.0000,"9,024.5426",63.0000,982.0000,"9,024.5426",61.0000,950.0000,"9,024.5426",85.0000,"1,333.0000","9,024.5426",73.0000,"1,140.0000","9,024.5426",79.0000,"1,232.0000","9,024.5426",88.0000,"1,373.0000","9,024.5426",94.0000,"1,467.0000","9,024.5426",94.0000,"1,467.0000","9,024.5426",100.0000,"1,571.0000","9,024.5426",107.0000,"1,682.0000","9,024.5426",115.0000,"1,802.0000","9,024.5426",123.0000,"1,930.0000","9,024.5426",132.0000,"2,068.0000",0.0641,0.0641
30,"8,902.0076",56.0000,824.0000,"8,902.0076",66.0000,964.0000,"8,902.0076",62.0000,914.0000,"8,902.0076",68.0000,"1,001.0000","8,902.0076",66.0000,968.0000,"8,902.0076",93.0000,"1,358.0000","8,902.0076",79.0000,"1,162.0000","8,902.0076",86.0000,"1,256.0000","8,902.0076",96.0000,"1,399.0000","8,902.0076",102.0000,"1,495.0000","8,902.0076",102.0000,"1,495.0000","8,902.0076",109.0000,"1,601.0000","8,902.0076",117.0000,"1,714.0000","8,902.0076",125.0000,"1,836.0000","8,902.0076",134.0000,"1,967.0000","8,902.0076",144.0000,"2,107.0000",0.0682,0.0682
31,"9,101.4023",62.0000,868.0000,"9,101.4023",73.0000,"1,016.0000","9,101.4023",69.0000,963.0000,"9,101.4023",76.0000,"1,054.0000","9,101.4023",73.0000,"1,020.0000","9,101.4023",103.0000,"1,431.0000","9,101.4023",88.0000,"1,224.0000","9,101.4023",95.0000,"1,323.0000","9,101.4023",106.0000,"1,474.0000","9,101.4023",113.0000,"1,575.0000","9,101.4023",113.0000,"1,575.0000","9,101.4023",121.0000,"1,687.0000","9,101.4023",129.0000,"1,806.0000","9,101.4023",139.0000,"1,934.0000","9,101.4023",149.0000,"2,072.0000","9,101.4023",159.0000,"2,220.0000",0.0717,0.0717
32,"9,072.0514",68.0000,890.0000,"9,072.0514",79.0000,"1,042.0000","9,072.0514",75.0000,988.0000,"9,072.0514",82.0000,"1,081.0000","9,072.0514",80.0000,"1,045.0000","9,072.0514",112.0000,"1,467.0000","9,072.0514",96.0000,"1,255.0000","9,072.0514",103.0000,"1,356.0000","9,072.0514",115.0000,"1,511.0000","9,072.0514",123.0000,"1,615.0000","9,072.0514",123.0000,"1,615.0000","9,072.0514",132.0000,"1,730.0000","9,072.0514",141.0000,"1,852.0000","9,072.0514",151.0000,"1,983.0000","9,072.0514",162.0000,"2,125.0000","9,072.0514",173.0000,"2,276.0000",0.0762,0.0762
33,"9,051.1877",55.0000,908.0000,"9,051.1877",65.0000,"1,063.0000","9,051.1877",61.0000,"1,008.0000","9,051.1877",67.0000,"1,103.0000","9,051.1877",65.0000,"1,067.0000","9,051.1877",91.0000,"1,497.0000","9,051.1877",78.0000,"1,281.0000","9,051.1877",84.0000,"1,384.0000","9,051.1877",94.0000,"1,542.0000","9,051.1877",100.0000,"1,648.0000","9,051.1877",100.0000,"1,648.0000","9,051.1877",107.0000,"1,765.0000","9,051.1877",115.0000,"1,890.0000","9,051.1877",123.0000,"2,024.0000","9,051.1877",132.0000,"2,168.0000","9,051.1877",141.0000,"2,323.0000",0.0607,0.0607
34,"9,092.3721",72.0000,935.0000,"9,092.3721",85.0000,"1,095.0000","9,092.3721",80.0000,"1,038.0000","9,092.3721",88.0000,"1,136.0000","9,092.3721",85.0000,"1,098.0000","9,092.3721",119.0000,"1,541.0000","9,092.3721",102.0000,"1,319.0000","9,092.3721",110.0000,"1,425.0000","9,092.3721",123.0000,"1,588.0000","9,092.3721",131.0000,"1,697.0000","9,092.3721",131.0000,"1,697.0000","9,092.3721",140.0000,"1,817.0000","9,092.3721",150.0000,"1,946.0000","9,092.3721",161.0000,"2,084.0000","9,092.3721",173.0000,"2,233.0000","9,092.3721",185.0000,"2,392.0000",0.0772,0.0772
